"Accession","Coefficient_crp","P_Value_crp","R_Squared_crp","Q_Value_crp","Coefficient_uvascore","P_Value_uvascore","R_Squared_uvascore","Q_Value_uvascore","Coefficient_wbc","P_Value_wbc","R_Squared_wbc","Q_Value_wbc"
"TLX3_HUMAN;TLX2_HUMAN",-21.9829432242738,0.481850497914304,0.0160854498593271,0.664537094321919,-0.466179297718451,0.411929484584255,0.0211422297137864,0.555116387137537,-0.813630849202231,0.518405238776948,0.013579128688785,0.882613311113143
"TM109_HUMAN",52.0287440359925,0.255808599911153,0.0414461714769857,0.451631495849937,0.8881238978791,0.251836491911651,0.0408211820841347,0.405357265834555,3.96247840513868,0.0269803766390972,0.148145037333583,0.213175751543894
"TM119_HUMAN",1.85847913763805,0.934384738874558,0.000222179432613691,0.962643275845975,0.58637600581276,0.14454931730129,0.0653357891948314,0.291059574953567,-1.11860984023865,0.212841290703036,0.049602241171062,0.63451739068712
"TM222_HUMAN",-70.3325044504331,0.0244452228022509,0.152896503485981,0.143901339895404,-1.58340924810601,0.00450269919762521,0.225890867869206,0.0421468870840774,-1.12129402447963,0.389838921996329,0.023948590642587,0.807645251345245
"TM245_HUMAN",4.21366081172787,0.777428630193751,0.00261598833007533,0.85830645692703,0.177916706974822,0.507972070824148,0.0138141418347341,0.640124901863299,0.339069582340712,0.571545227987055,0.0104387831183149,0.90748032323041
"TM272_HUMAN",30.2617714408632,0.118797968167183,0.0766568030325542,0.302527178739469,0.412929766734478,0.188158211146794,0.0534888995676083,0.339403439898471,1.82328699622321,0.0165834017260655,0.17148559099014,0.151141705205105
"TMCC2_HUMAN",48.9207739692475,0.122445728941141,0.0752229723258795,0.307450734226393,1.02499734326993,0.0734520127328313,0.0966925702918946,0.195031632300596,-0.22134084809346,0.864870063549003,0.000948948287818016,0.973037353575977
"TMED9_HUMAN",78.8247408095553,0.126649023706009,0.0736257731316768,0.312133854904758,2.03993240687911,0.0237140265508606,0.149847258475638,0.102876298899141,4.43144444457941,0.029769204251716,0.143400590476374,0.226512452971801
"TMEDA_HUMAN",76.9252476146449,0.228876279500521,0.0463517873047655,0.426169273120146,1.99512109838972,0.0754788416902254,0.095416615189436,0.1981759542986,1.05741000079,0.684517572734692,0.00539723169838256,0.940758939247811
"TMOD1_HUMAN",-113.200240812833,0.0863480382120978,0.0919049706490872,0.25928492480902,-2.40662015812765,0.0432755130776054,0.121580960775083,0.142737992716188,-0.66539165176876,0.806891245082035,0.00195683654602964,0.952536477723515
"TMOD3_HUMAN",17.8066370573378,0.670225530309372,0.00592704105645044,0.789622797350095,0.80734765235214,0.264167626219754,0.0388005892755952,0.418399639698665,4.27634674930729,0.0072168167603844,0.210656810198238,0.0833141401559932
